央视卫视,#genre#
CCTV2,http://116.237.61.115:4022/rtp/233.18.204.21:5140$LR•IPV4•29『线路15』$LR•IPV4•29『线路15』
CCTV2,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8$LR•IPV4•29『线路16』$LR•IPV4•29『线路16』
CCTV2,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009$LR•IPV4•29『线路17』$LR•IPV4•29『线路17』
CCTV3,http://23.237.228.134/live5/CCTV3.m3u8$LR•IPV4•29『线路1』$LR•IPV4•29『线路1』
CCTV3,http://8.138.7.223/tv/mgitv.php?id=14$LR•IPV4•29『线路2』$LR•IPV4•29『线路2』
CCTV3,http://8.138.7.223/tv/mgitv.php?id=13$LR•IPV4•29『线路3』$LR•IPV4•29『线路3』
CCTV3,http://182.150.23.74:808/hls/3/index.m3u8$LR•IPV4•29『线路4』$LR•IPV4•29『线路4』
CCTV3,http://124.116.183.146:9901/tsfile/live/0003_1.m3u8$LR•IPV4•29『线路5』$LR•IPV4•29『线路5』
CCTV3,http://dd.ddzb.fun/php/migu.php?id=cctv3$LR•IPV4•29『线路6』$LR•IPV4•29『线路6』
CCTV3,http://112.46.85.60:8009/hls/3/index.m3u8$LR•IPV4•29『线路7』$LR•IPV4•29『线路7』
CCTV3,http://8.138.7.223/tv/mgitv.php?id=16$LR•IPV4•29『线路8』$LR•IPV4•29『线路8』
CCTV3,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv3hd/1000/index.m3u8?msisdn=20260418080204a459616fe9b2494e9abc69abb229ab81&mdspid=&spid=699004&netType=0&sid=5500212864&pid=2028597139&timestamp=20260418080204&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=171.8.79.254&SecurityKey=20260418080204&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=WX-A1-9.3.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=3e1f41ba02079c893d4947d939d825ef$LR•IPV4•29『线路9』$LR•IPV4•29『线路9』
CCTV3,http://j.s.bkpcp.top/jj/cctv3$LR•IPV4•29『线路10』$LR•IPV4•29『线路10』
CCTV3,http://m.061899.xyz/mg/cctv3$LR•IPV4•29『线路11』$LR•IPV4•29『线路11』
CCTV3,http://58.57.40.22:9901/tsfile/live/1002_1.m3u8$LR•IPV4•29『线路12』$LR•IPV4•29『线路12』
CCTV3,http://120.76.248.139/live/bfgd/4200000062.m3u8$LR•IPV4•29『线路13』$LR•IPV4•29『线路13』
CCTV3,http://43.156.8.127:5050/ysp?id=2024068501&pid=600001801&q=fhd$LR•IPV4•29『线路14』$LR•IPV4•29『线路14』
CCTV3,https://cdn16.163189.xyz/163189/96a39bfe7103e9c5$LR•IPV4•29『线路15』$LR•IPV4•29『线路15』
CCTV3,http://120.220.44.46/624878271$LR•IPV4•29『线路16』$LR•IPV4•29『线路16』
CCTV3,http://113.241.133.180:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•29『线路17』$LR•IPV4•29『线路17』
CCTV3,http://gmxw.7766.org:808/hls/91/index.m3u8$LR•IPV4•29『线路18』$LR•IPV4•29『线路18』
CCTV3,http://116.237.61.115:4022/rtp/233.18.204.22:5140$LR•IPV4•29『线路19』$LR•IPV4•29『线路19』
CCTV3,http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009$LR•IPV4•29『线路20』$LR•IPV4•29『线路20』
CCTV4,http://home.yulei.online:9999/rtp/226.0.2.156:9160$LR•IPV4•29『线路1』$LR•IPV4•29『线路1』
CCTV4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8$LR•IPV4•29『线路2』$LR•IPV4•29『线路2』
CCTV4,http://8.138.7.223/tv/mgitv.php?id=17$LR•IPV4•29『线路3』$LR•IPV4•29『线路3』
CCTV4,http://124.116.183.146:9901/tsfile/live/0004_1.m3u8$LR•IPV4•29『线路4』$LR•IPV4•29『线路4』
CCTV4,http://dd.ddzb.fun/php/migu.php?id=cctv4$LR•IPV4•29『线路5』$LR•IPV4•29『线路5』
